# BEAST v1.7.5
# Generated Sun Apr 07 14:14:09 BST 2013 [seed=1365340446246]
state	posterior	prior	likelihood	treeLikelihood	skyline	treeModel.rootHeight	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10
250000	-13542.09109633466	-4422.985815004406	-9119.105281330254	-9119.105281330254	-4194.019217580892	89.37891385468365	6.937506004300507	0.36573448888100524	0.1843022655919661	0.2074611767127559	0.24250206881427322	3.522468421227319E-5	106220.22279638803	36614.03502573141	4684.278613407065	2438.373720459328	3686.433213849301	1513.5769751099701	576.43200595528	369.4681107063836	169.12224556020428	36.604468855224574	11.0	1.0	65.0	32.0	71.0	132.0	94.0	47.0	46.0	14.0
275000	-12959.77805610651	-3945.186855785198	-9014.591200321312	-9014.591200321312	-3722.806381650109	44.379571610663774	8.831173280311964	0.36891885841512995	0.18396718071074214	0.20018732688581697	0.24692663398831144	9.042179300678607E-5	72769.10554460129	11327.053012669916	2787.756499389924	3212.6540995460537	1972.3478992198984	594.696327809051	261.11929644178474	130.334229982938	51.974277592292324	29.123574078044296	15.0	4.0	53.0	14.0	57.0	167.0	101.0	38.0	50.0	14.0
300000	-12645.18226326493	-3788.9914111057874	-8856.190852159141	-8856.190852159141	-3570.6831736214435	23.718511691533482	7.865741491253297	0.3634497981677698	0.18417916931183947	0.20023592246294986	0.2521351100574413	1.164690934053723E-4	16972.02848597003	4320.588738051308	2460.653932296422	6643.986682999924	883.3999961874488	547.61789190732	174.91243727867152	79.33083682539223	38.22656175971091	12.430436539739722	30.0	3.0	40.0	3.0	73.0	157.0	110.0	34.0	43.0	20.0
325000	-12370.35982765614	-3603.35248299014	-8767.007344666	-8767.007344666	-3389.8623274669676	16.091849652823782	9.076810801636741	0.35923195801581465	0.175542721151225	0.22400775302761966	0.24121756780534112	1.6593352768584096E-4	8019.855882526332	14871.07079925555	2919.3646001990783	1471.3724325125008	547.514274129317	405.64590349221146	111.18909385558584	55.943661711775825	12.239192331885334	5.479935929367613	37.0	1.0	37.0	1.0	75.0	147.0	118.0	46.0	37.0	14.0
350000	-12070.425201917675	-3379.796316967996	-8690.628884949678	-8690.628884949678	-3173.3718481680817	16.211076706002228	7.673546610176479	0.3760218695548214	0.18509381583860496	0.202446985524694	0.23643732908188003	2.3511887931124963E-4	7463.949401003377	4129.401585007743	1613.2179373679958	279.59712224968047	392.22756034777433	264.2017525586055	58.70978051829178	20.704988875620966	9.219937038493656	4.399967322388872	41.0	1.0	29.0	10.0	93.0	140.0	113.0	46.0	29.0	11.0
375000	-11316.44994883467	-2701.346702780257	-8615.103246054414	-8615.103246054414	-2507.222741483693	2.6948904043927624	8.718988285511205	0.37325099931315225	0.17999080613366011	0.20221495243713702	0.24454324211605094	9.389244118014447E-4	1049.7257458802999	759.0686166730491	618.7508948362845	646.9695747049208	73.78682948870173	46.37264872550972	18.85263907869147	6.7081759814435316	2.5139793031230537	1.0525330491229579	30.0	2.0	38.0	12.0	116.0	136.0	92.0	40.0	27.0	20.0
400000	-11073.558738877173	-2567.3013830342366	-8506.257355842936	-8506.257355842936	-2378.6526244182596	3.148480419689988	7.494583519231818	0.3813676160348859	0.17963794012220793	0.2028998902826203	0.23609455356028616	0.001178726246228701	665.0859368428519	273.9073077899448	460.0946670994328	86.67012153721117	76.311871114237	32.993055027238455	8.153520450109063	4.132741875020029	2.704136059177802	1.2376398381321818	26.0	22.0	35.0	13.0	119.0	139.0	83.0	39.0	15.0	22.0
425000	-10968.97670162667	-2498.2967033043883	-8470.679998322283	-8470.679998322283	-2308.9060819002584	2.033679841005197	9.137574944318608	0.39055798197957187	0.17406248550841474	0.19217959122942643	0.24319994128258707	0.001288249900942324	867.6296884655475	387.4707177080523	460.8446737195873	99.78191081603094	82.74079476909115	25.91014772822972	9.51400602126759	4.137717314852917	2.7535384732473083	1.004763584711365	17.0	20.0	31.0	35.0	125.0	134.0	74.0	47.0	6.0	24.0
450000	-10902.919187931815	-2491.412847466383	-8411.506340465432	-8411.506340465432	-2304.4085513714735	2.4936285918595797	8.648468480467816	0.3688930090427614	0.18145982725211726	0.20738065953799098	0.24226650416713053	0.0013388378315944273	808.5558134750463	307.45307268084946	274.6502737274116	168.3340699007205	62.89377998613442	33.417130952776304	8.231324191083132	3.083500464516006	0.43001661120485574	0.7174448500214474	19.0	34.0	29.0	38.0	124.0	116.0	82.0	49.0	11.0	11.0
475000	-10803.664568182157	-2476.0565535832748	-8327.608014598884	-8327.608014598884	-2288.4379715011605	1.7917625698485953	7.846823967417575	0.37057368348795766	0.19305312986258774	0.18507681947403398	0.25129636717542086	0.0014895979952683827	537.0322969151421	188.75153787048478	462.27657575551575	212.11768139644542	60.301390009534124	38.279809872794395	7.763649904292378	3.3313551165588904	0.9610083861689619	0.5185045060501476	14.0	37.0	23.0	26.0	146.0	109.0	68.0	61.0	19.0	10.0
